company,time,revenue_m
DLB,2013,909.7
DLB,2014,960.2
DLB,2015,970.6
DLB,2016,1025.7
DLB,2017,1081.5
DLB,2018,1171.9
DLB,2019,1241.6
DLB,2020,1161.8
DLB,2021,1281.3
DNA,2019,54.2
DNA,2020,76.7
DNA,2021,313.8
DNA,2022,477.7
DNA,2023,251.5
DNA,2024,227.0
DNA,2025,170.2
DNLI,2018,129.2
DNLI,2019,26.7
DNLI,2020,335.7
DNLI,2021,48.7
DNLI,2022,108.5
DNLI,2023,330.5
DOCS,2020,116.4
DOCS,2021,206.9
DOCS,2022,343.5
DOCS,2023,419.1
DOCS,2024,475.4
DOCS,2025,570.4
DWSN,2013,305.3
DWSN,2014,261.7
DWSN,2015,234.7
DWSN,2016,133.3
DWSN,2017,157.1
DWSN,2018,154.2
DWSN,2019,145.8
EB,2016,133.5
EB,2017,201.6
EB,2018,291.6
EB,2019,326.8
EB,2020,106.0
EB,2021,187.1
EB,2022,260.9
EB,2023,326.1
EBAY,2009,8727.4
EBAY,2010,9156.0
EBAY,2011,11651.7
EBAY,2012,14072.0
EBAY,2013,16047.0
EBAY,2014,17902.0
ECPG,2009,316.4
ECPG,2010,364.3
ECPG,2011,467.4
ECPG,2012,555.9
ECPG,2013,773.4
ECPG,2014,1072.8
ECPG,2015,1161.6
ECPG,2016,1029.3
ECPG,2017,1187.0
ECPG,2018,1320.6
ECPG,2019,1405.8
ECPG,2020,1501.4
ECPG,2021,1614.5
ECPG,2022,1398.3
ECPG,2023,1222.7
ECPG,2024,1316.4
ECPG,2025,1768.8
EL,2017,11824.0
EL,2018,13683.0
EL,2019,14863.0
EL,2020,14294.0
EL,2021,16215.0
EL,2022,17737.0
EL,2023,15910.0
EL,2024,15608.0
EL,2025,14326.0
EPD,2007,26713.8
EPD,2008,35469.6
EPD,2009,25510.9
EPD,2010,33739.3
EPD,2011,44313.0
EPD,2012,42583.1
EPD,2013,47727.0
EPD,2014,47951.2
EPD,2016,23022.3
EPD,2017,29241.5
EPD,2018,36534.2
EPD,2019,32789.2
EPD,2020,27199.7
EPD,2021,40806.9
EPD,2022,58186.0
EPD,2023,49715.0
EPD,2024,56219.0
EPD,2025,52596.0
ERIE,2008,2651.0
ERIE,2009,4255.0
ERIE,2010,4890.0
ERIE,2011,4824.0
ERIE,2012,5512.0
ERIE,2013,6271.0
ERIE,2014,6124.0
ERIE,2015,1505.5
ERIE,2016,1596.6
ERIE,2017,1691.8
ESS,2017,1363.9
ESS,2018,1400.1
ESS,2019,1460.2
ESS,2020,1495.7
ESS,2021,1440.6
ESS,2022,1606.8
ESS,2023,1669.4
ESS,2024,1774.5
ESS,2025,1887.3
ET,2008,9293.4
ET,2009,5417.3
ET,2010,6598.1
ET,2011,8240.7
ET,2012,16964.0
ET,2013,48335.0
ET,2014,55691.0
ET,2015,42126.0
ET,2016,37504.0
ET,2017,40523.0
ET,2018,54087.0
ET,2019,54213.0
ET,2020,38954.0
ET,2021,67417.0
ET,2022,89876.0
ET,2023,78586.0
ET,2024,82671.0
ET,2025,85536.0
EWBC,2016,52.3
EWBC,2017,54.3
EWBC,2018,53.6
EWBC,2019,55.3
EXE,2007,7800.0
EXE,2008,11629.0
EXE,2009,7702.0
EXE,2010,9366.0
EXE,2011,11635.0
EXE,2012,12316.0
EXE,2013,17506.0
EXE,2014,20951.0
EXE,2015,12764.0
EXE,2016,7872.0
EXE,2017,9496.0
EXE,2018,10231.0
EXE,2019,8595.0
EXE,2020,5296.0
EXE,2021,5549.0
EXE,2022,11743.0
EXE,2023,8721.0
EXE,2024,4235.0
EXE,2025,12124.0
FANG,2017,1205.0
FANG,2018,2176.0
FANG,2019,3964.0
FANG,2020,2813.0
FANG,2021,6797.0
FANG,2022,9643.0
FANG,2023,8412.0
FANG,2024,11066.0
FANG,2025,15026.0
FCFS,2009,355.3
FCFS,2010,423.3
FCFS,2011,521.3
FCFS,2012,595.9
FCFS,2013,660.8
FCFS,2014,712.9
FCFS,2015,704.6
FCFS,2016,1088.4
FCFS,2017,1779.8
