listed_company,time,gross_margin_pct
GPRO,2022,37.2
GPRO,2023,32.2
GPRO,2024,33.8
GPRO,2025,33.6
GRMN,2017,57.6
GRMN,2018,59.1
GRMN,2019,17.0
GRMN,2020,18.9
GRMN,2021,58.0
GRMN,2022,57.7
GRMN,2023,57.5
GRMN,2024,58.7
GRMN,2025,58.7
HD,2008,33.6
HD,2009,33.7
HD,2010,33.9
IEP,2011,2.3
IEP,2012,2.4
IEP,2013,1.6
IEP,2014,1.0
IEP,2015,1.8
IEP,2016,3.1
IEP,2017,2.3
IEP,2018,3.2
IEP,2019,2.6
IMKTA,2017,24.1
IMKTA,2018,23.9
IMKTA,2019,6.2
IMKTA,2020,7.0
IMKTA,2021,26.1
IMKTA,2022,24.9
IMKTA,2023,23.8
IMKTA,2024,23.0
IMKTA,2025,23.9
IOT,2021,69.8
IOT,2022,70.9
IOT,2023,72.0
IOT,2024,73.6
IOT,2025,76.1
IOT,2026,76.7
JNJ,2017,66.7
JNJ,2018,16.5
JNJ,2019,16.6
JNJ,2021,65.6
JNJ,2022,68.2
JNJ,2023,17.1
JNJ,2024,69.1
JNJ,2025,67.9
JOUT,2021,44.5
JOUT,2022,36.5
JOUT,2023,4.3
JOUT,2024,4.2
JOUT,2025,8.3
KHC,2014,30.0
KHC,2016,9.3
KHC,2017,9.2
KO,2016,60.7
KO,2017,62.1
KO,2018,63.1
KO,2019,60.8
KO,2020,59.3
KO,2021,60.3
KO,2022,58.1
KO,2023,59.5
KO,2024,61.1
KO,2025,61.6
KVYO,2021,70.9
KVYO,2022,72.9
KVYO,2023,74.5
KVYO,2024,76.4
KVYO,2025,74.7
LAZRQ,2019,-32.2
LAZRQ,2020,-78.9
LAZRQ,2021,-44.3
LAZRQ,2024,-34.1
LEN,2015,6.9
LEN,2016,6.2
LEN,2017,5.9
LEN,2018,6.2
LEN,2019,6.2
LEN,2020,7.0
MASI,2009,70.9
MASI,2010,71.3
MASI,2011,16.8
MASI,2012,17.7
MASI,2013,16.5
MASI,2015,18.6
MASI,2016,17.9
MASI,2017,19.3
MASI,2018,17.3
MASI,2019,17.8
MASI,2021,65.0
MASI,2022,17.3
MDLN,2023,25.3
MDLN,2024,27.3
MDLN,2025,26.4
MHK,2016,31.4
MHK,2017,31.6
MHK,2018,6.5
MHK,2019,6.2
MHK,2020,7.7
MHK,2021,29.2
MHK,2022,25.1
MHK,2023,24.3
MHK,2024,24.8
MHK,2025,23.9
MNST,2016,63.7
MNST,2017,63.5
MNST,2018,14.5
MNST,2019,14.5
MNST,2020,15.0
MNST,2021,56.1
MNST,2022,50.3
MNST,2023,53.1
MNST,2024,54.0
MNST,2025,55.8
MRVL,2020,50.3
MRVL,2021,50.1
MRVL,2022,46.3
MRVL,2023,50.5
MRVL,2024,41.6
MRVL,2025,41.3
MRVL,2026,51.0
MSFT,2008,21.5
MSFT,2009,18.0
MSFT,2010,20.6
MSM,2016,45.0
MSM,2017,44.5
MSM,2018,11.2
MSM,2019,10.5
MSTR,2009,82.4
MSTR,2010,76.7
MSTR,2011,21.8
MSTR,2012,21.0
MSTR,2013,23.1
MSTR,2014,20.2
MSTR,2015,22.7
MSTR,2016,22.8
MSTR,2017,22.5
MSTR,2018,21.3
MSTR,2019,22.4
MSTR,2020,23.0
MSTR,2021,82.0
MSTR,2022,79.4
MSTR,2023,77.8
MSTR,2024,72.1
MTSI,2010,36.0
MTSI,2011,11.2
MTSI,2012,10.4
MTSI,2017,46.8
MTSI,2018,43.1
MTSI,2019,10.6
MTSI,2020,14.7
MTSI,2021,56.3
MTSI,2022,60.2
MTSI,2023,59.5
MTSI,2024,54.0
MTSI,2025,54.7
NET,2017,78.7
NET,2018,77.4
NET,2019,77.9
NET,2020,76.6
NET,2021,77.6
NET,2022,76.1
NET,2023,76.3
NET,2024,77.3
NET,2025,74.5
NFLX,2007,34.8
NFLX,2008,33.3
NFLX,2009,35.4
NFLX,2010,37.2
NFLX,2011,9.4
NFLX,2012,6.9
NFLX,2013,8.3
NFLX,2014,8.5
NFLX,2015,8.5
NFLX,2016,9.3
NFLX,2017,10.1
NFLX,2018,9.2
NFLX,2019,9.9
NFLX,2020,9.9
NKE,2017,44.6
NKE,2018,43.8
NKE,2019,44.7
NKE,2020,43.4
NKE,2021,44.8
NKE,2022,46.0
NKE,2023,43.5
NKE,2024,44.6
NKE,2025,42.7
NOW,2011,65.9
NOW,2012,57.3
NOW,2013,63.4
NOW,2014,63.6
NOW,2015,67.2
NOW,2016,71.3
NOW,2017,74.1
NVDA,2008,45.6
NVDA,2009,34.3
NVDA,2010,13.2
NVDA,2011,12.0
NVDA,2012,12.3
NVDA,2013,13.7
NVDA,2014,54.9
NVDA,2015,14.9
NVDA,2016,15.8
NVDA,2017,18.9
NVDA,2018,18.5
NVDA,2020,62.0
NVDA,2021,62.3
NVDA,2022,64.9
NVDA,2023,56.9
NVDA,2024,72.7
NVDA,2025,75.0
NVDA,2026,71.1
ORCL,2015,62.0
ORCL,2016,60.5
ORCL,2017,61.0
ORCL,2018,61.0
PANW,2011,72.8
PANW,2012,72.3
PANW,2013,20.7
PANW,2014,21.7
PANW,2015,22.6
PANW,2016,21.7
PANW,2017,21.0
PANW,2018,20.8
PEGA,2009,65.6
PEGA,2010,61.8
PEGA,2011,17.5
PEGA,2012,22.9
PEGA,2013,21.5
PEGA,2014,20.8
PEGA,2015,22.1
PII,2016,24.5
PII,2017,24.4
PII,2018,6.4
PII,2019,6.2
PII,2020,24.3
PII,2021,23.7
PII,2022,22.8
PII,2023,21.9
PII,2024,20.4
PII,2025,19.1
PLTR,2018,72.2
PLTR,2019,67.4
PLTR,2020,67.7
PLTR,2021,78.0
PLTR,2022,78.6
PLTR,2023,80.6
PLTR,2024,80.2
PLTR,2025,82.4
PRM,2019,35.1
PRM,2020,47.7
PRM,2021,49.6
PRM,2022,39.6
PRM,2023,43.1
PRM,2024,56.5
PRM,2025,57.5
PSA,2013,70.9
PSA,2014,71.2
PSA,2015,73.3
PSA,2016,73.9
PSA,2017,73.5
PSA,2018,73.1
PSTG,2017,65.9
PSTG,2018,65.5
PSTG,2019,66.4
PSTG,2020,69.0
PSTG,2021,68.2
PSTG,2022,67.5
PSTG,2023,68.9
PSTG,2024,71.4
PSTG,2025,69.8
QXO,2017,39.8
QXO,2018,41.3
QXO,2019,38.1
QXO,2020,40.2
QXO,2021,41.3
QXO,2022,39.9
QXO,2023,39.6
RKT,2018,39.7
RKT,2019,41.4
RKT,2020,70.3
RKT,2021,63.9
RKT,2022,44.5
RKT,2023,34.4
RKT,2024,45.3
RL,2017,54.9
RL,2018,60.7
RL,2019,61.6
RL,2020,59.3
RL,2021,65.0
RL,2022,66.7
RL,2023,64.7
RL,2024,66.8
RL,2025,68.6
ROKU,2016,30.4
ROKU,2017,39.0
ROKU,2018,15.1
ROKU,2019,14.3
ROKU,2020,17.2
ROKU,2021,51.0
ROKU,2022,46.1
ROKU,2023,43.7
ROKU,2024,43.9
ROKU,2025,43.8
ROL,2016,12.2
ROL,2017,12.4
ROL,2018,12.3
ROL,2019,12.5
SAM,2009,51.5
SAM,2010,55.3
SAM,2011,15.6
SAM,2012,13.7
SAM,2013,14.2
SAM,2014,12.0
SAM,2015,11.3
SAM,2016,11.9
SAM,2017,12.5
SAM,2018,11.7
SAM,2019,11.4
SAM,2020,12.5
SAM,2021,38.8
SAM,2022,41.2
SAM,2023,42.4
SAM,2024,44.4
SAM,2025,48.5
SCVL,2017,28.9
SCVL,2018,6.9
SCVL,2019,30.0
SCVL,2020,6.7
SCVL,2021,28.7
SCVL,2022,39.6
SCVL,2023,37.1
SCVL,2024,35.8
SCVL,2025,35.6
SEE,2016,33.3
SEE,2017,31.7
SEE,2018,8.4
SEE,2019,9.0
SEE,2020,32.8
SEE,2021,30.4
SEE,2022,31.4
SEE,2023,29.9
SEE,2024,30.1
SEE,2025,29.8
SEIC,2010,28.5
SEIC,2011,26.4
SEIC,2012,25.8
SEIC,2013,26.8
SEIC,2014,31.7
SEIC,2015,30.9
SEIC,2016,31.0
SEIC,2017,30.2
SEIC,2018,31.3
SEIC,2019,32.3
SEIC,2020,30.9
SEIC,2021,33.6
SEIC,2022,32.3
SEIC,2023,29.0
SEIC,2024,32.9
SEIC,2025,35.2
SHLS,2019,30.6
SHLS,2020,37.9
SHLS,2021,38.8
SHLS,2022,40.2
SHLS,2023,34.4
SHLS,2024,35.6
SHLS,2025,35.0
SMCI,2015,15.7
SMCI,2016,3.2
SMCI,2017,3.5
SNOW,2019,46.5
SNOW,2020,56.0
SNOW,2021,59.0
SNOW,2022,62.4
SNOW,2023,65.3
SNOW,2024,68.0
SNOW,2025,66.5
SSNC,2014,46.5
SSNC,2015,46.8
SSNC,2016,13.2
SSNC,2017,12.7
STLD,2016,17.2
STLD,2017,16.6
STLD,2018,4.4
STLD,2019,3.0
STLD,2020,4.6
STLD,2021,29.1
STLD,2022,27.5
STZ,2017,48.1
STZ,2018,11.1
STZ,2019,50.3
STZ,2020,11.4
STZ,2021,11.5
STZ,2022,12.8
STZ,2023,10.2
STZ,2024,10.4
STZ,2025,10.9
SYK,2016,66.3
SYK,2017,65.7
SYK,2018,18.1
SYK,2019,18.2
SYK,2020,18.9
SYK,2021,17.8
SYK,2022,17.5
SYK,2023,18.1
SYK,2024,18.5
SYK,2025,18.4
