person,name,last_name,chinese_name,gender,birth_year,country,industry,company,source,title,ticker,equity_stake_pct,voting_control_pct,total_comp_m,base_salary_k,stock_awards_m
charles_johnson,Charles B. Johnson,Johnson,查尔斯·约翰逊,Male,1933,usa,Finance & Investments,Franklin Resources,Franklin Templeton,"Former Chairman and CEO, Franklin Resources",BEN,18.9,,3.36,600.0,1.09
charles_koch,Charles Koch,Koch,查尔斯·科赫,Male,1936,usa,Diversified,Koch Industries,"Koch, Inc.",,,,,,,
charles_liang,Charles Liang,Liang,Charles Liang,Male,1958,usa,Technology,Supermicro,Computer hardware,,SMCI,,,0.0,0.001,
charles_schwab,Charles Schwab,Schwab,查尔斯·施瓦布,Male,1938,usa,Finance & Investments,Charles Schwab,Discount brokerage,"Chairman and Founder, Charles Schwab",SCHW,,,856640875157307.9,900000884616792.4,300001730000413.0
charles_simonyi,Charles Simonyi,Simonyi,查尔斯·西蒙尼,Male,1949,usa,Technology,Microsoft,Microsoft,,MSFT,,,,,
charles_zegar,Charles Zegar,Zegar,查尔斯·泽加尔,Male,1948,usa,Finance & Investments,Bloomberg,Bloomberg LP,,,,,,,
charlie_munger,Charles Munger,Munger,查尔斯·芒格,Male,1926,usa,Finance & Investments,Berkshire Hathaway,Berkshire Hathaway,"Vice Chairman, Berkshire Hathaway Inc. (Cl A)",,,,,,
charlotte_colket_weber,Charlotte Colket Weber,Weber,Charlotte Colket Weber,Female,1943,usa,Food & Beverage,Campbell Soup,Campbell Soup,"Director, Campbell Soup",CPB,,,,,
chase_coleman_iii,"Chase Coleman, III.",Coleman,"Chase Coleman, III",Male,1975,usa,Finance & Investments,Tiger Global Management,Investments,"Founder, Tiger Global Management",,,,,,
chetan_dube,Chetan Dube,Dube,,Male,1968,usa,Technology,,technology,,,,,,,
chris_britt,Chris Britt,Britt,,Male,1975,usa,Finance & Investments,,fintech,,,,,,,
chris_larsen,Chris Larsen,Larsen,克里斯·拉森,Male,1960,usa,Finance & Investments,Ripple,Cryptocurrency,,XRP,,,,,
chris_sacca,Chris Sacca,Sacca,Chris Sacca,Male,1978,usa,Finance & Investments,Lowercase Capital,venture capital investing,"Founder and Partner, Lowercase Capital",,,,,,
chris_wanstrath,Chris Wanstrath,Wanstrath,,Male,1987,usa,Technology,,software,,MSFT,,,,,
christian_chabot,Christian Chabot,Chabot,Christian Chabot,Male,1972,usa,Technology,Investments,Software,,CRM,,,,,
christopher_burch,Christopher Burch,Burch,,Male,1955,usa,Fashion and Retail,,fashion,,,,,,,
