person,name,last_name,age,birth_year,gender,country,source,industry,title,image_uri,latest_year
mike_sabel,Mike Sabel,Sabel,58.0,1967.0,Male,United States,oil & gas,Energy,,no-pic,2025
mike_speiser,Mike Speiser,Speiser,54.0,1971.0,Male,United States,Software,Technology,Sutter Hill Ventures,no-pic,2025
mikhail_abyzov,Mikhail Abyzov,Abyzov,50.0,1975.0,Male,Russia,"power, power engineering",Energy,,,2014
mikhail_balakin,Mikhail Balakin,Balakin,62.0,1963.0,Male,Russia,construction,Construction & Engineering,,,2015
mikhail_fedyaev,Mikhail Fedyaev,Fedyaev,60.0,1965.0,Male,Russia,"coal, railway transport, machinery",Diversified,,,2013
mikhail_fridman,Mikhail Fridman,Fridman,61.0,1964.0,Male,Russia,"Oil, banking, telecom",Energy,,,2025
mikhail_gutseriev,Mikhail Gutseriev,Gutseriev,67.0,1958.0,Male,Russia,"Oil, coal, real estate",Energy,,,2025
mikhail_lomtadze,Mikhail Lomtadze,Lomtadze,49.0,1976.0,Male,Georgia,Fintech,Finance & Investments,,no-pic,2025
mikhail_prokhorov,Mikhail Prokhorov,Prokhorov,60.0,1965.0,Male,Russia,Investments,Finance & Investments,,,2025
mikhail_shelkov,Mikhail Shelkov,Shelkov,57.0,1968.0,Male,Russia,Titanium,Metals & Mining,,no-pic,2025
milane_frantz,Milane Frantz,Frantz,55.0,1970.0,Female,United States,Pipelines,Energy,,,2025
miloud_chaabi,Miloud Chaabi,Chaabi,94.0,1931.0,Male,Morocco,diversified,Real Estate,,,2015
mimi_haas,Mimi Haas,Haas,76.0,1949.0,Female,United States,Levi's jeans,Fashion & Retail,,no-pic-female,2021
min_kao,Min Kao,Kao,76.0,1949.0,Male,United States,Navigation equipment,Technology,,,2025
min_liang_tan,Min-Liang Tan,Tan,47.0,1978.0,Male,Singapore,Gaming hardware,Media & Entertainment,,,2025
ming_hsieh,Ming Hsieh,Hsieh,67.0,1958.0,Male,United States,Fulgent Genetics,Healthcare,,no-pic,2021
minoru_mori,Minoru Mori,Mori,88.0,1937.0,Male,Japan,real estate,Real Estate,,,2012
miranda_qu,Miranda Qu,Qu,40.0,1985.0,Female,China,E-commerce,Fashion & Retail,,no-pic-female,2025
miriam_adelson,Miriam Adelson,Adelson,79.0,1946.0,Female,United States,Casinos,Gambling & Casinos,,no-pic-female,2025
miriam_baumann_blocher,Miriam Baumann-Blocher,Baumann-Blocher,50.0,1975.0,Female,Switzerland,Chemicals,Manufacturing,,,2025
mitchell_goldhar,Mitchell Goldhar,Goldhar,64.0,1961.0,Male,Canada,Real estate,Real Estate,"Owner, SmartCentres",,2025
mitchell_jacobson,Mitchell Jacobson,Jacobson,74.0,1951.0,Male,United States,Industrial equipment,Service,,,2025
mitchell_morgan,Mitchell Morgan,Morgan,70.0,1955.0,Male,United States,Real estate,Real Estate,,no-pic,2025
mitchell_rales,Mitchell Rales,Rales,68.0,1957.0,Male,United States,"Manufacturing, investments",Manufacturing,,,2025
miuccia_prada,Miuccia Prada,Prada,76.0,1949.0,Female,Italy,Luxury goods,Fashion & Retail,,,2025
mo_tianquan,Mo Tianquan,Mo,59.0,1966.0,Male,China,internet information provider,Service,,,2014
mochtar_riady,Mochtar Riady,Riady,96.0,1929.0,Male,Indonesia,diversified,Diversified,,,2025
mofatraj_munot,Mofatraj Munot,Munot,80.0,1945.0,Male,India,Real estate,Real Estate,,,2025
mohamed_al_fayed,Mohamed Al Fayed,Al Fayed,94.0,1931.0,Male,Egypt,"Retail, investments",Fashion & Retail,,,2023
mohamed_alabbar,Mohamed Alabbar,Alabbar,68.0,1957.0,Male,United Arab Emirates,"Real estate, restaurants",Diversified,,no-pic,2025
mohamed_bin_issa_al_jaber,Mohamed Bin Issa Al Jaber,Al Jaber,64.0,1961.0,Male,Saudi Arabia,"real estate, hotels",Real Estate,,,2013
mohamed_mansour,Mohamed Mansour,Mansour,77.0,1948.0,Male,Egypt,Diversified,Diversified,,,2025
mohammad_abunayyan,Mohammad Abunayyan,Abunayyan,62.0,1963.0,Male,Saudi Arabia,Diversified,Diversified,,no-pic,2025
mohammed_al_amoudi,Mohammed Al Amoudi,Al Amoudi,76.0,1949.0,Male,Saudi Arabia,"oil, diversified",Energy,,,2017
mohammed_al_barwani,Mohammed Al Barwani,Al Barwani,71.0,1954.0,Male,Oman,oil,Oil,,,2015
mohammed_al_issa,Mohammed Al Issa,Al Issa,98.0,1927.0,Male,Saudi Arabia,investments,Finance and Investments,,no-pic,2017
mohammed_al_rajhi,Mohammed Al Rajhi,Al Rajhi,,,Male,Saudi Arabia,banking,Finance,,no-pic,2012
mohammed_bahwan,Mohammed Bahwan,Bahwan,,,Male,Oman,auto dealerships,Automotive,,no-pic,2017
mohammed_dewji,Mohammed Dewji,Dewji,50.0,1975.0,Male,Tanzania,Diversified,Diversified,,,2025
mohammed_ibrahim,Mohammed Ibrahim,Ibrahim,79.0,1946.0,Male,United Kingdom,Communications,Telecom,"Founder, Mo Ibrahim Foundation",,2025
mohammed_saleh_serafi,Mohammed Saleh Serafi,Serafi,91.0,1934.0,Male,Saudi Arabia,investments,Finance and Investments,,no-pic,2017
mohannad_al_kharafi,Mohannad Al-Kharafi,Al-Kharafi,,,Male,Kuwait,diversified,Diversified,,no-pic,2018
mohed_altrad,Mohed Altrad,Altrad,77.0,1948.0,Male,France,"Scaffolding, cement mixers",Construction & Engineering,,,2025
moise_safra,Moise Safra,Safra,88.0,1937.0,Male,Brazil,banking,Finance,,,2014
mokhzani_mahathir,Mokhzani Mahathir,Mahathir,62.0,1963.0,Male,Malaysia,oil & gas services,Energy,,,2014
molly_miao,Molly Miao,Miao,,,Female,China,Shein,Fashion & Retail,,no-pic-female,2025
mong_koo_chung,Mong-Koo Chung,Chung,87.0,1938.0,Male,South Korea,Hyundai,Automotive,,,2025
monika_schoeller,Monika Schoeller,Schoeller,84.0,1941.0,Female,Germany,publishing,Media & Entertainment,,,2019
monique_roosmale_nepveu,Monique Roosmale Nepveu,Roosmale Nepveu,83.0,1942.0,Female,France,commodities,Food and Beverage,,no-pic-female,2015
montri_jiaravanont,Montri Jiaravanont,Jiaravanont,92.0,1933.0,Male,Thailand,diversified,Diversified,,no-pic,2022
mori_arkin,Mori Arkin,Arkin,72.0,1953.0,Male,Israel,Pharmaceuticals,Healthcare,,,2025
morris_chang,Morris Chang,Chang,94.0,1931.0,Male,Taiwan,Semiconductors,Technology,,no-pic,2025
morris_kahn,Morris Kahn,Kahn,95.0,1930.0,Male,Israel,Software,Technology,,,2025
mortimer_zuckerman,Mortimer Zuckerman,Zuckerman,88.0,1937.0,Male,United States,"Real estate, media",Real Estate,"Chairman and CEO, Boston Properties",,2025
motilal_oswal,Motilal Oswal,Oswal,63.0,1962.0,Male,India,Financial services,Finance & Investments,,no-pic,2025
mou_jinxiang,Mou Jinxiang,Mou,69.0,1956.0,Female,China,chemicals,Manufacturing,,no-pic-female,2021
mrudula_parekh,Mrudula Parekh,Parekh,77.0,1948.0,Female,India,Adhesives,Manufacturing,,no-pic-female,2025
msatyanarayana_reddy,M.Satyanarayana Reddy,Reddy,68.0,1957.0,Male,India,Pharmaceuticals,Healthcare,,no-pic,2025
mu_rongjun,Mu Rongjun,Mu,45.0,1980.0,Male,China,E-commerce,Technology,,no-pic,2025
mubariz_gurbanoglu,Mubariz Gurbanoglu,Gurbanoglu,55.0,1970.0,Male,Turkey,shipping,Logistics,,,2015
muhammed_aziz_khan,Muhammed Aziz Khan,Khan,70.0,1955.0,Male,Singapore,Power,Energy,,no-pic,2025
