person,self_made_type,birth_date,city,state,marital_status,number_of_children,birth_country,self_made_score,birth_city,birth_state,philanthropy_score
joseph_steinberg,self-made,1944-02-05,New York,New York,Married,3.0,,,,,
josh_harris,self-made,1964-12-29,Miami,Florida,Married,5.0,,8.0,,,1.0
josh_kushner,self-made,1985-06-12,New York,New York,Married,2.0,,7.0,,,1.0
jude_reyes,self-made,1955-09-16,Palm Beach,Florida,Married,3.0,,8.0,,,1.0
judy_faulkner,self-made,1943-08-01,,,Married,3.0,United States,8.0,,Wisconsin,2.0
julia_koch,inherited,1962-04-12,New York,New York,Widowed,3.0,,2.0,,,2.0
julian_baker,self-made,1966-05-21,New York,New York,,,,,,,
justin_ishbia,inherited and growing,1977-09-18,Chicago,Illinois,Married,4.0,,4.0,,,1.0
jyoti_bansal,self-made,1978-04-04,San Francisco,California,,,India,,,,
kalen_jackson,inherited and growing,1987-07-06,Indianapolis,Indiana,Married,2.0,,,,,
kamal_ghaffarian,self-made,1958-04-28,Naples,Florida,Engaged,,Iran,,,,
karen_pritzker,inherited,1958-01-07,Branford,Connecticut,Widowed,4.0,,3.0,,,2.0
karim_atiyeh,self-made,1989-09-15,Miami,Florida,,,,9.0,,,
karthik_sarma,self-made,1974-12-01,New York,New York,,,,,,,
kate_macmillan_reed,inherited,1957-07-01,Hobe Sound,Florida,Married,,United States,,,,
katharina_otto_bernstein,inherited,1964-01-01,New York,New York,Married,2.0,,,,,
katharine_rayner,inherited,1945-01-12,East Hampton,New York,Widowed,,,1.0,,,1.0
kathy_britton,inherited and growing,1969-09-03,Houston,Texas,Married,3.0,,,,,
kavitark_ram_shriram,self-made,1957-01-21,Menlo Park,California,Married,2.0,India,10.0,,,2.0
keith_bentley,self-made,1958-07-18,Elverson,Pennsylvania,,,,,,,
keith_dunleavy,self-made,1969-06-25,Annapolis,Maryland,Married,4.0,,,,,
kelcy_warren,self-made,1955-11-09,Dallas,Texas,Married,1.0,,9.0,,,2.0
ken_fisher,self-made,1950-11-29,Dallas,Texas,Married,3.0,,8.0,,,1.0
ken_griffin,self-made,1968-10-15,Miami,Florida,Divorced,3.0,,8.0,,,2.0
ken_kendrick,self-made,1943-09-02,Paradise Valley,Arizona,Married,2.0,,,,,
ken_langone,self-made,1935-09-16,Sands Point,New York,Married,3.0,,9.0,,,2.0
ken_xie,self-made,1963-01-26,Los Altos Hills,California,Married,,China,8.0,,,2.0
kenneth_feld,inherited and growing,1948-10-31,Sarasota,Florida,Separated,3.0,United States,5.0,,District of Columbia,1.0
kenneth_hao,self-made,1968-09-11,Hillsborough,California,,,United States,,,,
kenny_troutt,self-made,1948-01-08,Dallas,Texas,Married,3.0,,,,,
kevin_glazer,inherited and growing,1962-02-15,Rochester,New York,,,,,,,
kevin_marchetti,self-made,1978-01-01,San Francisco,California,Married,,,,,,
kevin_plank,self-made,1972-08-13,Lutherville-Timonium,Maryland,Married,2.0,United States,8.0,Kensington,Maryland,
kevin_systrom,self-made,1983-12-30,San Francisco,California,Married,1.0,,,,,
kim_kardashian,self-made,1980-10-21,Los Angeles,California,Divorced,4.0,United States,7.0,Los Angeles,California,
kimbal_musk,self-made,1972-09-20,Boulder,Colorado,,,,,,,
lamar_hunt_jr,inherited,1956-10-15,Leawood,Kansas,,,,,,,
larry_connor,self-made,1950-01-07,Miamisburg,Ohio,Married,3.0,United States,,Albany,New York,
larry_culp,self-made,1963-03-15,Cincinnati,Ohio,Married,,,,,,
larry_ellison,self-made,1944-08-17,Manalapan,Florida,In Relationship,4.0,United States,9.0,,,1.0
larry_fink,self-made,1952-11-02,New York,New York,Married,3.0,United States,,Van Nuys,California,
larry_page,self-made,1973-03-26,Palo Alto,California,Married,1.0,United States,8.0,East Lansing,Michigan,1.0
larry_robbins,self-made,1969-10-21,Alpine,New Jersey,Married,4.0,United States,7.0,,,3.0
larry_silverstein,self-made,1931-05-30,New York,New York,Married,,United States,,New York,New York,
laura_love,inherited,1963-03-01,Oklahoma City,Oklahoma,,3.0,,,,,
lauren_leichtman,self-made,1949-11-03,Miami,Florida,Married,3.0,,9.0,,,
laurene_powell_jobs,inherited,1963-11-06,Palo Alto,California,Widowed,3.0,United States,2.0,,,3.0
laurie_tisch,inherited,1951-02-19,New York,New York,Divorced,2.0,,,,,
lawrence_golub,self-made,1959-10-03,New York,New York,,,,7.0,,,
lebron_james,self-made,1984-12-30,Los Angeles,California,Married,3.0,United States,10.0,Akron,Ohio,
lee_bass,inherited and growing,1956-05-24,Fort Worth,Texas,Married,,,4.0,,,2.0
leon_black,self-made,1951-07-31,New York,New York,Married,4.0,,8.0,,,2.0
leon_g_cooperman,self-made,1943-04-25,Boca Raton,Florida,Married,2.0,,9.0,,,3.0
